	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000001569	174.082	44	142	87	169	153	94	156	64	90	64	77	47	120	72
ENSMUSG00000001576	308	250.999	143	354	356	165	269.999	295.999	241.999	175	215.999	294	173.001	220	260
ENSMUSG00000001583	1.052	0	0	0	4	0	1.088	0	0	2	0	3.185	1	0	2
ENSMUSG00000001588	89	5	16	0	47	13	0	12	0	4	0	0	0	4	2
ENSMUSG00000001604	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0
ENSMUSG00000001622	0	0	0	0	18	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000001627	423	134.999	88.999	126.808	286.682	115.001	223.722	158.001	164	143.333	54	136.243	115.924	374.134	299.817
ENSMUSG00000001630	226.549	198.784	62.52	205.624	394.212	177.228	231.123	287.751	189.482	150.793	109.252	142.552	136.935	538.865	291.195
ENSMUSG00000001632	212.962	144.012	140	149.446	255.671	269.732	133.751	291.824	87.308	127.399	84.803	126.184	89	193.156	146.408
ENSMUSG00000001642	186.703	141.251	89.946	123.678	109.534	43.305	113.368	121.785	113.389	106.304	76.914	123.18	64.754	46.556	95.827
ENSMUSG00000001655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001663	1	2	6	7	7	0	4	2	6	15	0	11	2	0	3
ENSMUSG00000001665	2	8	2	0	0	0	0	2	0	4	0	0	0	0	0
ENSMUSG00000001666	8	2	0	1	11.169	2	7	4	5	7	4	0	4	2	1
ENSMUSG00000001670	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0
ENSMUSG00000001672	0	0	0	1	6	0	3	1	1	1	1	8	2	0	0
ENSMUSG00000001674	108.001	71.091	16	44	394.874	346.719	35	161	36.833	35	9	18.135	28	164.1	62.488
ENSMUSG00000001687	668	617.151	306	417.725	1477.022	672.999	562	1035.001	418	511	231.001	316.999	230	1027.794	520
ENSMUSG00000001700	283	31	41.319	16.659	38	59	18	25	16	290.023	10	44	12	37	40
ENSMUSG00000001707	42	11	11	21	6	6	17	23	19	13	12	14	10	7	14
ENSMUSG00000001729	122.001	25	68	61.113	94	48	41	96	24	69	16	52	33	64	44.001
ENSMUSG00000001739	3	3	0	0	11	7	0	11	1	0	0	1	0	11	0
ENSMUSG00000001741	182.499	16.482	30	1	38.001	12	12	20.879	5	22.216	5	12	1	32.757	10.753
ENSMUSG00000001750	456.55	50.999	189	16	42	34	11	35	9	101.999	18.999	21	3	6	19.139
ENSMUSG00000001751	16	13	0	5	5	1	4	2	7	18	0	4	2	2	1
ENSMUSG00000001755	63	29	61	45	38	50	28	32	25	25	11	50	23	22	20
ENSMUSG00000001761	88	56	26	2	15	2	6	5	0	114	4	11	1	2	1
ENSMUSG00000001763	38	89	45	56	31	32	73	50	53	11	63	58	48	5	27
ENSMUSG00000001767	194	63	67	100	171	107	122	164.001	110	128.001	15	80	76	179.999	147
ENSMUSG00000001768	204	50	69	44	77	18	25	61	23	339	19	55	19	27	31
ENSMUSG00000001773	100	6	12	1	4	9	1	1	1	187	7	20	0	1	4
ENSMUSG00000001774	703	423.999	376.001	541	679.113	425.889	687	716.282	590	409	340.001	536	345	639.683	573.002
ENSMUSG00000001783	191	110	50	81	109	67	85	86	103	148	33	106.072	54	71	51
ENSMUSG00000001785	60	28	39	27	43	23	37	55.001	30	40	13	35	31	21	37
ENSMUSG00000001786	581.999	284	173.648	220	316	138	299	159.999	222	728	185	250.001	155	128.999	169.001
ENSMUSG00000001794	417.999	136.001	76	129	202.999	135	123	126.999	90.707	252.182	128	102	87.001	49	63.999
ENSMUSG00000001802	60.162	43	63	54	30	20	61	59	31.869	93.088	57.14	35.131	21.954	14	30
ENSMUSG00000001804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000001829	203	216.001	84	168	672.465	233.999	156.003	307.999	148.999	114	138.001	137.999	130	240	177.047
ENSMUSG00000001833	1397.159	851.283	335.999	977.413	902.856	429.067	1348.415	793.66	1160.98	2437.514	486	1033.489	613.964	632.09	976.929
ENSMUSG00000001844	39	22	9	40	46	54	43.999	48	29	50	32	54.001	29	35.999	30
ENSMUSG00000001847	649.452	406.557	294.658	331.12	446.032	196.679	470.273	202.86	438.898	758.835	122.417	255.561	208.534	186.259	162.219
ENSMUSG00000001855	538.847	334	312.779	328.155	450.524	328	327.77	411.001	215.652	371.753	263.826	375.317	174	506.666	397.937
ENSMUSG00000001864	17	1	0	3	7	0	1	3	0	37	0	1	0	0	0
ENSMUSG00000001865	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001870	145.001	19	49	28	62	34	43	33.001	38.001	363.001	59	123.001	20	29	47
ENSMUSG00000001891	152	43.085	26	78	27	9	88	26	93.001	253.999	15	75	45.001	13	47
ENSMUSG00000001901	1	0	2	10	2	1	10	6	3	1	0	2	5	3	1
ENSMUSG00000001909	130.001	129	154.001	145.001	485.001	224.002	154.001	290.999	131	69.999	106	191.999	116	187.999	224
ENSMUSG00000001910	166	109	109	93	173.971	79	76	128	64	102	38	62	46	117	95.981
ENSMUSG00000001911	500.986	747	608.988	519.934	412.96	211.999	460.613	312.646	327.369	841.969	267.001	440.995	224	242	284.941
ENSMUSG00000001918	135	11	17	1	4	6	2	6	0	23	4	1	0	3	2
ENSMUSG00000001924	531	316.569	326	376.001	552	366	315.999	296	292	437	83	280	248	207.105	221
ENSMUSG00000001930	13	0	62	0	0	4	0	0	0	18.001	2	0	0	0	0
ENSMUSG00000001942	76.1	153.765	142.924	266.187	257.823	117.563	335.121	250.692	255.327	124.359	92.959	349.848	164.594	324.653	291.129
ENSMUSG00000001943	15	127.999	37.5	118.04	84	61	106	100	104	3	83.79	94.999	54	193.298	81
ENSMUSG00000001946	11	2	3	13.001	45	19	15	26	14	23	4	13	6	29	4
ENSMUSG00000001948	2	10	21	22	27.001	11	40.001	33	25	4	8	56	27	41	30
ENSMUSG00000001962	139	30	91	76	102	88	64	86	36	49	19	24	42	29	28
ENSMUSG00000001964	52.076	21.033	15	18.154	87.682	39.076	32	31.03	24	25	1	8	21.038	20.053	16.607
ENSMUSG00000001983	22.692	6	16	13	9	17	9	8	10	17.199	6	3	8.338	16.969	7
ENSMUSG00000001985	227	506.965	585.199	481.186	252.361	320	370	391	264	282	348	310	259	75	173
ENSMUSG00000001986	1266.836	2620.876	1603.75	3363.899	2385.186	1144.273	4890.19	1986.81	4068.991	1138.884	2323.211	4578	2633.955	2121.895	3121.648
ENSMUSG00000001988	9	6	3	3	11	27	12	5	2	3	7	7	1	0	2
ENSMUSG00000001995	352	166	160	128.058	168	117	113	172	103	202	69	70	46	98	119
ENSMUSG00000001998	265.001	193	208.999	169.001	151.999	108	264.081	180	221.532	195.999	215	302	126	106	157.999
ENSMUSG00000001999	31	8	19	21	4	3	40.142	15	30.999	29	6	11	16	3	6
ENSMUSG00000002006	90.115	91.763	70.509	87.463	86	68.415	71.317	103.834	54	50.252	39	89.395	43.694	25.632	55.792
ENSMUSG00000002007	120.337	31	30	29	17	30	22	40	16	142	9	33	18	12	17
ENSMUSG00000002010	189	208.998	109	251.001	183.002	224.001	218.001	184	203	134	60.999	163	115	35	120.999
ENSMUSG00000002012	38	33	62	66.001	59	5	88	30.001	59	43	35	67	42.493	6	14
ENSMUSG00000002014	70.999	85	46.001	46	76	62.999	69	66.001	54	46	24	53.999	28	26	33
ENSMUSG00000002015	81	15	37	36	69	18	58	46	34	83	21	20	21	11	21
ENSMUSG00000002017	190	151	75	149.999	209	120	167.001	140.001	143	145	80.008	162.999	109.999	81.01	144
ENSMUSG00000002020	1	4	1	10	17	4.092	13	18	7	0	5	15	3	11	5
ENSMUSG00000002028	5383.444	4922.324	4179.176	5080.858	5522.54	3509.109	5356.059	4526.712	3879.588	2888.964	3008.742	4709.084	2890.906	5833.344	4615.811
ENSMUSG00000002031	96.001	57.999	91	75	70	46	102	61	56.999	128.999	61	89	50	42	50
ENSMUSG00000002032	123	171.001	285	176.999	165	52	202	163	158.999	73.999	114	170.999	118	47	146.999
ENSMUSG00000002033	47	0	0	0	0	2	0	1	0	1	0	0	0	0	1
ENSMUSG00000002043	2	1	0	0	5	8	3	5	4	2	2	7	0	1	5
ENSMUSG00000002052	1119	807.992	571.29	746.656	2124.496	1954.899	722.786	1647.462	643.784	1062.639	348	496	428.699	2098.001	1229
ENSMUSG00000002055	76	181	177	277.999	116	145	281.999	243.999	261	31	66	189	165	53	78
ENSMUSG00000002057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000002058	11	2	0	6	5	1	10	3	6	15	0	6	8	2	1
ENSMUSG00000002059	71	21.001	69	16	21	40	38.999	13.999	27	119	16	42.001	16	5	14
ENSMUSG00000002064	53	8.009	28	39.344	29	7	42.214	27.363	34.216	66.02	27	36	24.529	21	28
ENSMUSG00000002068	29	35	14	25	35	13	26	17	20	8	1	17	9	1	5
ENSMUSG00000002076	0	0	0	0	6	0	0	3	0	1	0	0	0	1	0
ENSMUSG00000002083	5	3	2	2	40	38	1	33	1	0	7	1	0	17	6
ENSMUSG00000002100	18	1	0	4	0	1	2	5	0	0	2	0	1	0	0
ENSMUSG00000002102	193.001	104	113	179	219	72.001	130.001	168.999	134.632	135.371	21	82	101	76	62
ENSMUSG00000002103	676.759	483.424	307.396	371.602	369.87	209.982	463.933	394.809	353.366	456.347	161.586	437.868	219.141	173.006	316.241
ENSMUSG00000002104	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000002105	106.742	76	87	62.999	72	35	49	85.999	49.367	101.999	38	66.999	50	28	31
ENSMUSG00000002107	2353.152	6554.815	4248.711	5035.453	4543.82	2539.828	7066.69	4656.348	5803.003	1534	4940.419	7380.778	3562.776	4045.991	5551.711
ENSMUSG00000002108	23	7	0	7	13	1	1	16	5	6	5	8	1	5	3
ENSMUSG00000002109	89.838	71.582	103.605	73.397	64.13	47.017	99.067	69.192	108.634	112.868	29.413	111.132	42.375	32.994	66.759
ENSMUSG00000002111	52	7	23	1	4	5	0	0	0	8	0	1	0	1	1
ENSMUSG00000002129	148	73	129	103	95	139.001	97	145	94	121	46	118	78	75	115
ENSMUSG00000002147	150	58	26	51	89.001	74.098	66.062	85	36	45	15	31	29.087	76.101	46
ENSMUSG00000002190	88	124	186	164	60	156	126	77	129	65.001	77	132	93	27	79
ENSMUSG00000002204	33.568	14	14.48	12	4	7	9	9.367	8	3	1	11	4	6	5
ENSMUSG00000002205	165	63.001	114.999	32.001	78.999	51	47	48	30	136.001	32	43.999	33	25	49
ENSMUSG00000002210	90	85	146	97	116.001	89	63.999	111.999	34.999	68	57	64.999	49.001	29.001	68
ENSMUSG00000002221	235	154	228	199	136	229.999	205	167	131	199.001	114	155	93.999	67.999	139
ENSMUSG00000002222	356.999	274.999	179	316	486	195	374.403	304	395	322.001	161	224	216.001	427	363
ENSMUSG00000002227	151	70	167	82	226	184	97	227.001	65	63	86	115.999	76	209	143.001
ENSMUSG00000002228	6	0	0	1	0	0	1	0	0	0	0	0	1	2	0
ENSMUSG00000002233	8	1	0	7	3	2	1	3	0	15	2	3	2	12	2
ENSMUSG00000002240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002249	8	2	0	0	5	1	0	2	1	26	2	2	1	0	0
ENSMUSG00000002250	198	64	68.601	72	160	126	63	90	46.999	123	66	72	28	59	76
ENSMUSG00000002257	19	2	13.007	0	23.285	20	0	7	0	0	0	0	1	3	4
ENSMUSG00000002265	4379.826	6530.548	5480.001	7797.962	4915.117	3638.003	10604.521	6161.999	7871.507	2230.551	5175.99	9447.898	4656.585	1784.667	5895.851
ENSMUSG00000002266	87	11	5	20	17	11	25	5	13	108.001	9	16	9	4	25
ENSMUSG00000002274	59.999	1	5	1	3	1	2	7	0	91	1	4	0	3	3
ENSMUSG00000002279	254	239.028	316	154.001	148	52	142.999	131	99.999	263	184	202.001	88	20	61.999
ENSMUSG00000002280	120.351	37.521	97.987	47.472	47.117	56	38.956	75.471	33	53.189	18	33.727	49.459	25	35.851
ENSMUSG00000002289	5	1	8	0	0	3	0	4	0	16	0	0	0	2	0
ENSMUSG00000002297	72	17.961	9	8	19	23	15	27	14	24.999	5	23	11	9	11
ENSMUSG00000002307	161	25	65	27	38	73	37	68	14	32	12	18	6	63	30.108
ENSMUSG00000002308	45	48	30	46	339.118	199.001	73	167.999	46	23	66.999	57	36	83	43
ENSMUSG00000002319	129.841	52.678	53	146.095	191.172	121.55	114.274	166.726	76.418	70.001	56.334	121.5	66.351	121.986	70.436
ENSMUSG00000002320	117.504	40.983	122	76.927	117.198	81.167	63.108	118.274	41.43	107	16.154	59.654	36.544	62.602	73.519
ENSMUSG00000002324	6	0	5	0	4	1	2	7	1	4	0	7	4	2	2
ENSMUSG00000002325	316	92	67	95	85	146.001	67	220	41	59.404	24.001	67	31	107	107
ENSMUSG00000002326	89.354	37.227	20.024	44.713	35.699	31.143	53.028	45.427	43.185	46.277	25.389	49.95	28.748	14	11.117
ENSMUSG00000002329	83	49	36	34	29	17	42	35	26	57	12.264	38	29	22.001	7
ENSMUSG00000002332	82	49	33.001	48	30.001	15	47.999	42	33	65	27	43	36	7	16
ENSMUSG00000002341	813	1680.975	1448.006	1064	975.744	557.093	1236	499	889.483	2889.009	674.26	1355	575	189	586.539
ENSMUSG00000002342	85	102.001	117	74.999	104.746	46	85.999	84	61.001	98.709	24	62	37	74	51
ENSMUSG00000002343	26	22	37	23.999	15.544	50	19	17	13.086	15	10	20.183	7	12	15
ENSMUSG00000002345	32	14	33	14	11	4	29	20	22	45.999	17	31.007	21	23	15
ENSMUSG00000002346	155	383.899	323.659	214	778	441	202	289	120	198	200	247.001	95	294	224
ENSMUSG00000002365	76	60	49	42	37	33	43	35	38	67	20	52	26	26	17
ENSMUSG00000002372	144.001	154	145.001	131	530.998	523.999	136	285	103	98	71	82	69	176	115
ENSMUSG00000002379	18	8	4	14	15	5	18.999	11	16	15	0	0	12	2	4
ENSMUSG00000002384	4	0	0	5	25	0	5	3	3.584	6	2	7	1	17	8
ENSMUSG00000002393	4.128	1	0	0	9.12	5.304	6.537	6.668	4	7.068	0	7.265	0	2.826	2.15
ENSMUSG00000002395	40	12.999	22	22	19.999	46.999	22	29	17	30	9.121	18	8	14	10
ENSMUSG00000002396	101.872	112	90	66	203.881	73.696	71.463	110.332	51	70.932	36	75.735	47	104.174	46.85
ENSMUSG00000002409	36.264	43	86.221	49.982	107.686	101.482	34	85.168	29	38.094	32.137	27.7	22.02	60	51
ENSMUSG00000002413	1090.31	1055.521	895.528	1348	1265.95	720.479	1527.277	988.176	1339.552	830.385	649	1226.001	760.49	853.594	1187.2
ENSMUSG00000002416	227.999	141.11	93.473	144	248	182.408	249.999	148	176.984	181.999	44	185	98.51	238.993	206.383
ENSMUSG00000002428	419.999	151	66.12	111	161.999	89.228	222.636	130	215	345.485	108	212	120.999	82.999	180
ENSMUSG00000002455	278	160	85	209	364.058	240	203	346	184	220	102	172	115	298.999	286
ENSMUSG00000002458	73.001	39	8	24	16	19.001	31	10	18	34	39	25	15	4	23
ENSMUSG00000002459	134	40	19	68	153	74	66	105	57	247.491	59	105	62	123.165	96
ENSMUSG00000002475	97	36	23	20	25	11	38	20	38	160.118	19	47	22	6	18
ENSMUSG00000002477	54	12	1	26	120	99.001	36	99	52	28.999	8	15	9	179	107
ENSMUSG00000002486	142.001	44	30	60	147.727	256.994	31	163.443	26	65	46	48	19	103	70
ENSMUSG00000002489	365.001	211.001	216.001	239	259	216.001	221	233	210	92.001	152	249.318	137.682	83	156.999
ENSMUSG00000002496	667.209	373.964	350.256	448.093	605.513	432.285	386.344	524.259	362.902	433.882	291.906	385.079	275.733	265.005	351.086
ENSMUSG00000002500	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000002504	45	33	92	27	11	19	23	28	15	62	20	28	22	2	14
ENSMUSG00000002524	118.149	56	28	71	151.001	104.001	61	72	72	132	35	45.999	40	45	58
ENSMUSG00000002546	346	150	190	207	258.223	371	162	225.001	148	194	81	152.001	126	106	149.999
ENSMUSG00000002550	56.998	20	27.978	36	53.996	19.248	43.001	27.927	11.601	35	28	23.403	16.886	12.888	11.057
ENSMUSG00000002565	24	0	0	2	1	0	2	2	2	0	0	0	0	3	0
ENSMUSG00000002578	64	146	117	82	149	56	100	107	80	79	89	139	49.105	30	49
ENSMUSG00000002580	30	10	1	23	13	0	47	13	21	23	0	6	12	1	6
ENSMUSG00000002588	1	0	4	0	6	0	2	0	0	0	0	0	0	0	4
ENSMUSG00000002602	542.599	104	58	12	144	100.999	2	42	0	181	7	24	1	23	10
ENSMUSG00000002603	123	39	37	2	6	16	0	2	0	19	15	7	0	0	0
ENSMUSG00000002608	120	101	56	54	128	225	33	89	28	70	33	51	19.001	65	39
ENSMUSG00000002617	205	247	201	196.525	168	128	357.391	173	266.854	221	187	326	166	48.085	158
ENSMUSG00000002625	587.977	805.001	1257	839	742.001	897.001	590.001	1012.001	579.13	520	594.999	788.81	532.503	368.648	626.999
ENSMUSG00000002633	9	1	7	9	11	2	18	8	4	7	3	9	6	11	9
ENSMUSG00000002635	8	20	6	17	59	84	18	38	11	20	1	8	9	28	19
ENSMUSG00000002658	131	66	60	85	146	215	55	125	35	72	25	53	38	43.01	53
ENSMUSG00000002660	60	5	6	40	47	55	24	31	17	30	21	20	11.003	19	31
ENSMUSG00000002661	6	3	0	6	8	1	2	3	6	16	0	5	3	2	1
ENSMUSG00000002664	1	0	0	0	4	0	1	0	0	1	0	0	2	1	2
ENSMUSG00000002668	436.001	33	99.999	0	13	24	1	16	0	50	17	3	1	0	1
ENSMUSG00000002679	53.999	54	2	53	135.999	40	65	75	71.001	38	23	67	53	97	86
ENSMUSG00000002688	30	18	36	15	8	25	42	21	37	81	15	16	21	0	7
ENSMUSG00000002699	426	36	66	2	9	14	0	23	1	36.24	23	34	0	1	2
ENSMUSG00000002718	381	180	80.001	253	448.999	245.002	405	208	290.001	286.999	158.688	252.82	170	218.999	208
ENSMUSG00000002728	225	193	129	147.873	312	110	163	213	156.363	99	106.999	122	94	253.735	211.949
ENSMUSG00000002731	57	12	18	15	18	10	27	13	27	63	7	41	13	11	14
ENSMUSG00000002732	9	11	0	9	5	0	9	3	10	11	1	9	6	2	2
ENSMUSG00000002733	79.312	37	26.239	56.374	85.954	34.227	40.924	58.52	63.461	49.027	42.15	48.006	30.607	22.597	33.647
ENSMUSG00000002741	75	99	258	96	112	117	94	77	75	56	41	46	37	58	49
ENSMUSG00000002748	1933.885	1425.908	1226.003	1424.742	1776.87	1257.628	1564.001	1868.008	1354.074	1242.289	965.999	1604.848	829.579	1649	1780
ENSMUSG00000002763	60	32	41	57	60	9	33	56	28	43.001	32	41	20	24	19
ENSMUSG00000002767	10	11	29	17	27	3	22	12	8	11	1	3	8	7	6
ENSMUSG00000002768	26	10.524	7	27.882	21.336	17.003	15	6.999	15	15	25	10.843	11.027	5	6.613
ENSMUSG00000002769	5	4	2	2	3	3	5	3	0	1	1	3	1	1	3
ENSMUSG00000002771	86	33	149	20	52	34	24.876	29.675	11	45	28	20	15	7	24
ENSMUSG00000002778	97	15	7	51	37	13	46	41	41.001	87.078	11	33	28	14	33
ENSMUSG00000002781	51	77	98	44	40	45	56	69.012	46	65	61	92	26	22.031	30
ENSMUSG00000002791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002797	115	49	58.999	64	62	71	113.999	65	90.001	57	30	76	43	34	77
ENSMUSG00000002799	44	48	83	77.999	389.999	237.001	67	152	77	23	69	95	38	20	67
ENSMUSG00000002803	64	60	53	40.548	41	24	40	35	40	53	32	39	19	10	24.001
ENSMUSG00000002804	5	0	1	0	6	2	0	4	4	1	3	1	2	1	3
ENSMUSG00000002808	111	75	93	119	74	42	160	82.999	165	150	49	105	90	21	87
ENSMUSG00000002812	326.001	199	239	171	247	241	133	185	117	263	64	132	90.999	32	92.999
ENSMUSG00000002814	73.999	26	19	17	96	34	14	50	20.999	21.999	5	14	18	44.999	20
ENSMUSG00000002820	225.379	150.376	133.512	154.297	271.19	156.982	161.291	155.429	125.598	111.762	116.337	132.38	62.829	100.464	81.083
ENSMUSG00000002825	68	27	46	38	72	72	45.001	44	26	22	25	56	24	26	22.999
ENSMUSG00000002831	87	55.043	110	31	92	75	17	56	13	47	17	16	11	29	17
ENSMUSG00000002833	173.001	123	166.999	160.999	399.001	468.822	133.999	375.999	100.999	134	62	101	62	123.999	179.999
ENSMUSG00000002835	93.446	9.296	63.135	16.733	47.808	64.891	14.794	75.527	12.157	47.62	13.836	30.992	21.724	50.933	19.881
ENSMUSG00000002844	91	23	24	46.022	127	14	55	49	49	94	14	52	28	49	37
ENSMUSG00000002845	212.356	52.001	53	55.689	73.001	66.147	78.649	64	62.764	198	60.687	111.867	37.999	75.795	80.001
ENSMUSG00000002846	89	67	77	61	83	33	60	70	39	42	35	56	38	50	49.021
ENSMUSG00000002847	8	0	0	0	0	2	0	0	0	9	0	0	0	1	0
ENSMUSG00000002870	20	8	4	4	26	32	4	7	4	3	0	3	8	8	1
ENSMUSG00000002871	26	19	40	28	12	18	15	32	21	15	18	12	22	4	1
ENSMUSG00000002881	177	58.999	75	129	70	63	94	73.001	82	64	83	72	61	17	45
ENSMUSG00000002885	149.196	4	18.81	3	24	8.857	6	3.696	2	74.997	1	2	1	0	3
ENSMUSG00000002897	584.915	302	317	586	309	213	595	279	497.001	415	189	469	258	329	239
ENSMUSG00000002900	35	53	27	36	83	32	35	68.999	20	15	18	31.001	60.001	24	23
ENSMUSG00000002908	15	35	1	10	5	21	12	12	20	14	4	11	10.999	3	6
ENSMUSG00000002910	49	17	12	11	9	19	18	14	17	41	6	13	7	5	2
ENSMUSG00000002930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002944	30.001	1	0	2	9	2	0	2	0	0	2	0	0	7	5
ENSMUSG00000002948	282	175.319	222.001	175.438	320.559	226.42	159.409	294.999	106	302	113.999	201.512	105.532	147.771	190.554
ENSMUSG00000002949	263	133	252	210	184.001	124.344	184	193.999	107	153.014	112	167.001	87	120	173
ENSMUSG00000002957	313	334	230	270	391.001	351	240.338	216	222	324	170.416	192	166.639	79	119
ENSMUSG00000002963	40	19	12	19	18	34	20	16	19	31	31	39.001	14.999	10	15
ENSMUSG00000002968	155	120.001	161	137.001	214	135	116.999	216.001	84	143.999	104	124	71	130.221	121.001
ENSMUSG00000002980	6	0	15	1	2	0	0	0	2	21	4	0	1	0	0
ENSMUSG00000002981	353.999	239.001	104	256	206	212	239.001	218	178.279	339.999	100	179.193	166.001	91	144
ENSMUSG00000002983	42	0	2	5	5	1	7	2	1	13	4	7	5	1	4
ENSMUSG00000002984	144.767	121	31	114	151.9	83	99.834	118	81.001	79.718	47	108	38	93	80
ENSMUSG00000002985	626.999	691.464	497	17	165.999	179.001	19	97	14.001	1245	32	148.999	12	24.999	62.004
ENSMUSG00000002992	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002996	407.47	176.863	130	172.695	397.573	161.17	246.245	216.471	204.741	415.337	104.694	215.795	136.078	244.44	237.523
ENSMUSG00000002997	26	27	96	69	59	38	67	29	94	29	19	53	50	5	50
ENSMUSG00000003031	202.002	54	24	73.136	112	22	59	56	68	199	14	47	30	67	48
ENSMUSG00000003032	19	1	0	4	14	4	2	6	0	39	5	2	0	2	0
ENSMUSG00000003033	78	102.999	158	119	121	70	77.029	92.999	69.001	104	94	104.02	59	27	49
ENSMUSG00000003037	156	76	58	59	142.113	76	63	68	44	85.471	29	77	44	148	94
ENSMUSG00000003038	102.342	79.712	29.979	49.611	26.359	34.902	110.874	38.975	103.056	79.715	46.04	74.557	49	22.936	52.844
ENSMUSG00000003039	200	151	96	97	307	139	142	188	113	190	30	87	50	267	139
ENSMUSG00000003051	0	0	18	0	0	2	0	0	0	5	0	0	0	0	0
ENSMUSG00000003053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003062	128	166	79	113	77.999	65	168.999	85	132	101	43	131.001	78	57	62.999
ENSMUSG00000003068	126.967	40.301	31.056	85.819	154.793	108.009	24.53	138.159	33.704	74.139	21.126	38.683	11.219	116.358	45.205
ENSMUSG00000003070	1	6	0	5	4	0	3	3	5	9	0	2	0	0	7
ENSMUSG00000003072	90	54.023	39	72	72.001	25	60	43	42	72	6	39	49	52.328	36
ENSMUSG00000003099	147.028	124	136.002	157	337	259	133	269	113	129	26	99	75	204.001	161.001
ENSMUSG00000003119	1134.262	648	623.006	625.768	1464	1013.999	758.663	1109	655	780.001	661.937	875.999	463.015	1116.825	988.006
ENSMUSG00000003123	82.17	63.583	78.324	43.774	113.572	35.509	38.133	65.554	28.051	66.987	32.908	56.431	26.33	15.228	30.545
ENSMUSG00000003131	498.335	322	240	370	539.001	188.999	503	348	459.34	487	243	283	226	527	428
ENSMUSG00000003134	294.594	110.524	75	67.754	461.35	328.22	134.086	238.634	94.653	94.031	88.818	89.927	96.678	193.995	133.306
ENSMUSG00000003135	88	57	31	56.139	92	58	88	58	92	91.843	37	34	41	95.392	57
ENSMUSG00000003153	300.672	549.939	572.811	611.747	426.466	207.898	630.814	403.031	496.868	190.609	296.994	482.989	407	163.934	331.994
ENSMUSG00000003154	196.739	129.52	116	94.67	192.561	89	78	128.88	71	153	55	73	62	87.09	63
ENSMUSG00000003161	209.001	128.999	108	86	126.999	73.063	147	116	131.346	150	84	125	72.145	42	62
ENSMUSG00000003166	188.646	167.312	157.373	156.768	133.369	121.251	119.805	120.59	118.055	195.43	108.541	102.343	71.632	79.254	81.809
ENSMUSG00000003184	145	80.001	21	83	28	37.474	69	43	46	136.043	48	54	30	19	24
ENSMUSG00000003190	11	0	0	0	3	1	0	1	0	9.446	0	6	0	2	1
ENSMUSG00000003198	33	27.807	1	18	40	16.034	29	15	31.28	24.391	13.545	17.535	13	47	30
ENSMUSG00000003199	25	14	53	52	24.999	22	28	30.999	19	37	11	54	21	4	14
ENSMUSG00000003200	109	90	73	60	223	126	60	181	41	65	69	68	39	140	143
ENSMUSG00000003206	11	0	0	1	0	1	0	0	0	1	0	2	0	3	1
ENSMUSG00000003208	19.945	31	8	12	37.681	4	11	19	15	30	3	3	3	6.171	13
ENSMUSG00000003226	2513.753	1335	1012	2008.864	2242.431	1229	2976.262	1515.871	2538.257	1235	678	2014	1575.002	1874.001	2270.833
ENSMUSG00000003227	8.001	0	0	0	14	34	1	8	0	5	0	1	0	6	4
ENSMUSG00000003228	130.909	49.035	44	65.015	28.201	37.271	53.959	28.385	58.677	107.535	41.211	53.359	38.922	17.037	44.845
ENSMUSG00000003233	293.001	369.001	300	232	656.445	382	247	304.164	156	359	261.267	218	120	237	276.999
ENSMUSG00000003234	202.999	116	107.083	168.001	162	170	166	150	132.999	159	43.001	87	66	109	101
